Date,Price,Open,High,Low,Volume,Change
03/10/12,5731.25,5727.7,5743.25,5715.8,173.22M,0.22%
04/10/12,5787.6,5751.55,5807.25,5751.35,179.19M,0.98%
05/10/12,5746.95,5815,5815.35,4888.2,255.57M,-0.70%
08/10/12,5676,5751.85,5751.85,5666.2,142.32M,-1.23%
09/10/12,5704.6,5708.15,5728.65,5677.9,119.30M,0.50%
10/10/12,5652.15,5671.15,5686.5,5647.05,126.29M,-0.92%
11/10/12,5708.05,5663.5,5721.1,5636.95,148.28M,0.99%
12/10/12,5676.05,5681.7,5725,5659.35,130.08M,-0.56%
15/10/12,5687.25,5674.25,5693.7,5651.05,93.69M,0.20%
16/10/12,5648,5705.6,5714,5635.6,117.42M,-0.69%
17/10/12,5660.25,5681.1,5684.35,5633.9,123.97M,0.22%
18/10/12,5718.7,5675.3,5722.5,5650.55,144.10M,1.03%
19/10/12,5684.25,5703.3,5711.7,5660,124.26M,-0.60%
22/10/12,5717.15,5667.6,5721.55,5658.05,103.37M,0.58%
23/10/12,5691.4,5715.65,5720.8,5681.45,81.50M,-0.45%
25/10/12,5705.3,5688.8,5718.75,5685.7,158.34M,0.24%
26/10/12,5664.3,5683.55,5697.2,5641.75,101.66M,-0.72%
29/10/12,5665.6,5665.2,5698.3,5645.1,93.56M,0.02%
30/10/12,5597.9,5656.35,5689.9,5589.9,116.68M,-1.19%
31/10/12,5619.7,5596.75,5624.4,5583.05,112.08M,0.39%
01/11/12,5645.05,5609.85,5649.75,5601.95,107.39M,0.45%
02/11/12,5697.7,5696.35,5711.3,5682.55,111.16M,0.93%
05/11/12,5704.2,5693.05,5709.2,5679.5,74.83M,0.11%
06/11/12,5724.4,5694.1,5730.8,5693.65,115.02M,0.35%
07/11/12,5760.1,5718.6,5777.3,5711.4,133.74M,0.62%
08/11/12,5738.75,5709,5744.5,5693.95,117.59M,-0.37%
09/11/12,5686.25,5731.1,5751.7,5677.75,98.76M,-0.91%
12/11/12,5683.7,5688.45,5718.9,5665.75,92.70M,-0.04%
13/11/12,5666.95,5689.7,5698.25,5660.35,16.52M,-0.29%
15/11/12,5631,5650.35,5651.65,5603.55,133.98M,-0.63%
16/11/12,5574.05,5624.8,5650.15,5559.8,121.90M,-1.01%
19/11/12,5571.4,5577.3,5592.75,5549.25,106.99M,-0.05%
20/11/12,5571.55,5604.8,5613.7,5548.35,107.48M,0.00%
21/11/12,5614.8,5582.5,5620.2,5561.4,105.15M,0.78%
22/11/12,5627.75,5628.6,5643.35,5608,94.06M,0.23%
23/11/12,5626.6,5635.45,5637.75,5593.55,85.08M,-0.02%
26/11/12,5635.9,5648.65,5649.2,5623.45,79.29M,0.17%
27/11/12,5727.45,5658.5,5733.2,5658,134.41M,1.62%
29/11/12,5825,5736.7,5833.5,5736.1,207.30M,1.70%
30/11/12,5879.85,5836,5885.25,5827.85,257.05M,0.94%
03/12/12,5870.95,5878.25,5899.15,5854.6,113.42M,-0.15%
04/12/12,5889.25,5866.8,5894.95,5859,131.02M,0.31%
05/12/12,5900.5,5906.6,5917.8,5891.35,139.65M,0.19%
06/12/12,5930.9,5926.3,5942.55,5838.9,140.27M,0.52%
07/12/12,5907.4,5934,5949.85,5888.65,127.61M,-0.40%
10/12/12,5908.9,5916.05,5919.95,5888.1,95.98M,0.03%
11/12/12,5898.8,5923.8,5965.15,5865.45,137.42M,-0.17%
12/12/12,5888,5917.8,5924.6,5874.25,132.67M,-0.18%
13/12/12,5851.5,5900.35,5907.45,5841.35,136.62M,-0.62%
14/12/12,5879.6,5846.9,5886.1,5839.15,115.16M,0.48%
17/12/12,5857.9,5860.5,5886.05,5850.15,109.55M,-0.37%
18/12/12,5896.8,5873.6,5905.8,5823.15,148.91M,0.66%
19/12/12,5929.6,5917.3,5939.4,5910.8,149.44M,0.56%
20/12/12,5916.4,5934.45,5937.6,5881.45,123.91M,-0.22%
21/12/12,5847.7,5888,5888,5841.65,141.15M,-1.16%
24/12/12,5855.75,5869,5871.9,5844.7,85.34M,0.14%
26/12/12,5905.6,5864.95,5917.3,5859.55,83.87M,0.85%
27/12/12,5870.1,5930.2,5930.8,5864.7,139.61M,-0.60%
28/12/12,5908.35,5887.15,5915.75,5879.5,89.67M,0.65%
31/12/12,5905.1,5901.2,5919,5897.15,64.81M,-0.06%
01/01/13,5950.85,5937.65,5963.9,5935.2,77.90M,0.77%
02/01/13,5993.25,5982.6,6006.05,5982,116.06M,0.71%
03/01/13,6009.5,6015.8,6017,5986.55,99.99M,0.27%
04/01/13,6016.15,6011.95,6020.75,5981.55,113.23M,0.11%
07/01/13,5988.4,6042.15,6042.15,5977.15,110.25M,-0.46%
08/01/13,6001.7,5983.45,6007.05,5964.4,109.94M,0.22%
09/01/13,5971.5,6006.2,6020.1,5958.45,129.64M,-0.50%
10/01/13,5968.65,5998.8,6005.15,5947.3,129.77M,-0.05%
11/01/13,5951.3,6012.4,6018.85,5940.6,128.02M,-0.29%
14/01/13,6024.05,5967.2,6036.9,5962.15,134.71M,1.22%
15/01/13,6056.6,6037.85,6068.5,6018.6,138.36M,0.54%
16/01/13,6001.85,6049,6055.95,5992.05,128.99M,-0.90%
17/01/13,6039.2,6001.25,6053.2,5988.1,178.96M,0.62%
18/01/13,6064.4,6059.85,6083.4,6048.3,186.46M,0.42%
21/01/13,6082.3,6085.75,6094.35,6065.1,130.87M,0.30%
22/01/13,6048.5,6080.15,6101.3,6040.5,129.04M,-0.56%
23/01/13,6054.3,6052.85,6069.8,6021.15,136.99M,0.10%
24/01/13,6019.35,6046.2,6065.3,6007.85,185.21M,-0.58%
25/01/13,6074.65,6024.5,6080.55,6014.45,147.59M,0.92%
28/01/13,6074.8,6082.1,6088.4,6061.4,113.11M,0.00%
29/01/13,6049.9,6064.7,6111.8,6042.45,157.55M,-0.41%
30/01/13,6055.75,6065,6071.95,6044.15,124.22M,0.10%
31/01/13,6034.75,6045.65,6058.05,6025.15,168.52M,-0.35%
01/02/13,5998.9,6040.95,6052.95,5983.2,159.27M,-0.59%
04/02/13,5987.25,6025.2,6038.5,5981.25,141.74M,-0.19%
05/02/13,5956.9,5948.2,5970.35,5946.9,136.23M,-0.51%
06/02/13,5959.2,5988.05,5990.9,5953.15,157.82M,0.04%
07/02/13,5938.8,5936.45,5978.5,5927.6,157.65M,-0.34%
08/02/13,5903.5,5929.1,5953.7,5883.65,192.61M,-0.59%
11/02/13,5897.85,5920.05,5924.15,5879.1,121.96M,-0.10%
12/02/13,5922.5,5894.35,5927.65,5886.45,142.84M,0.42%
13/02/13,5932.95,5943.15,5969.5,5922.95,142.64M,0.18%
14/02/13,5896.95,5933.2,5940.2,5884.55,143.83M,-0.61%
15/02/13,5887.4,5869.95,5899.95,5853.9,125.09M,-0.16%
18/02/13,5898.2,5888.65,5911,5878.45,114.28M,0.18%
19/02/13,5939.7,5900.2,5947.55,5883.15,100.99M,0.70%
20/02/13,5943.05,5966.3,5971,5937.55,135.35M,0.06%
21/02/13,5852.25,5909.65,5921.15,5844.4,159.40M,-1.53%
22/02/13,5850.3,5837.95,5873.8,5835.8,157.05M,-0.03%
25/02/13,5854.75,5870.55,5878.4,5825,125.13M,0.08%
26/02/13,5761.35,5838.3,5838.85,5748.6,157.36M,-1.60%
27/02/13,5796.9,5784.9,5818.2,5749.7,175.17M,0.62%
28/02/13,5693.05,5834.35,5849.9,5671.9,334.85M,-1.79%
01/03/13,5719.7,5702.45,5739.45,5679.9,174.52M,0.47%
04/03/13,5698.5,5704.7,5712,5663.6,144.89M,-0.37%
05/03/13,5784.25,5722.45,5790.1,5722.4,154.41M,1.50%
06/03/13,5818.6,5816.4,5828.7,5795.05,156.90M,0.59%
07/03/13,5863.3,5801.3,5878,5801.3,134.68M,0.77%
08/03/13,5945.7,5883.65,5952.85,5883,150.78M,1.41%
11/03/13,5942.35,5946.1,5971.2,5930.35,125.39M,-0.06%
12/03/13,5914.1,5944.6,5952,5893.65,115.94M,-0.48%
13/03/13,5851.2,5884.8,5893.85,5842.25,116.71M,-1.06%
14/03/13,5908.95,5845.95,5920.15,5791.75,149.01M,0.99%
15/03/13,5872.6,5914.9,5945.65,5861,152.16M,-0.62%
18/03/13,5835.25,5816.75,5850.2,5814.35,102.66M,-0.64%
19/03/13,5745.95,5859.5,5863.6,5724.3,182.31M,-1.53%
20/03/13,5694.4,5740.55,5745.3,5682.3,187.62M,-0.90%
21/03/13,5658.75,5705.9,5757.75,5647.95,179.18M,-0.63%
22/03/13,5651.35,5659.8,5691.45,5631.8,165.29M,-0.13%
25/03/13,5633.85,5707.3,5718.4,5624.4,150.39M,-0.31%
26/03/13,5641.6,5613.75,5655.3,5612.05,126.50M,0.14%
28/03/13,5682.55,5647.75,5692.95,5604.85,209.66M,0.73%
01/04/13,5704.4,5697.35,5720.95,5675.9,97.78M,0.38%
02/04/13,5748.1,5701.7,5754.6,5687.15,106.42M,0.77%
03/04/13,5672.9,5740.2,5744.95,5650.1,140.71M,-1.31%
04/04/13,5574.75,5640.65,5644.45,5565.65,134.59M,-1.73%
05/04/13,5553.25,5568.1,5577.3,5534.7,137.46M,-0.39%
08/04/13,5542.95,5550.5,5569.2,5537.05,97.02M,-0.19%
09/04/13,5495.1,5568.75,5603.05,5487,138.18M,-0.86%
10/04/13,5558.7,5536.25,5569.25,5477.2,128.56M,1.16%
11/04/13,5594,5601.65,5610.65,5542.85,146.83M,0.64%
12/04/13,5528.55,5520.7,5544.5,5494.9,127.32M,-1.17%
15/04/13,5568.4,5508.5,5592.85,5500.3,142.92M,0.72%
16/04/13,5688.95,5562.45,5699.25,5555.85,142.68M,2.16%
17/04/13,5688.7,5708.65,5732.15,5669,154.58M,0.00%
18/04/13,5783.1,5682.7,5794.35,5681.85,149.88M,1.66%
22/04/13,5834.4,5789.85,5844.85,5789.8,135.10M,0.89%
23/04/13,5836.9,5843.1,5844.3,5791.55,132.22M,0.04%
25/04/13,5916.3,5856.1,5924.6,5853.3,199.60M,1.36%
26/04/13,5871.45,5899.75,5907.05,5860.5,141.31M,-0.76%
29/04/13,5904.1,5877.6,5918.65,5868.8,118.88M,0.56%
30/04/13,5930.2,5932.6,5962.3,5867.8,153.19M,0.44%
02/05/13,5999.35,5911.4,6019.45,5910.95,162.38M,1.17%
03/05/13,5944,5993.5,6000.3,5930.15,145.75M,-0.92%
06/05/13,5971.05,5944.9,5976.5,5928.45,110.17M,0.46%
07/05/13,6043.55,5983.45,6050.5,5982.95,136.37M,1.21%
08/05/13,6069.3,6064.15,6083.55,6024.95,122.28M,0.43%
09/05/13,6050.15,6078.35,6084.7,6040.45,110.00M,-0.32%
10/05/13,6094.75,6046.25,6105.3,6045.6,111.35M,0.74%
11/05/13,6107.25,6088.2,6114.55,6084.15,7.99M,0.21%
13/05/13,5980.45,6098.2,6104.95,5972.9,107.95M,-2.08%
14/05/13,5995.4,5989.7,6026.2,5970.05,119.27M,0.25%
15/05/13,6146.75,6018.85,6157.1,6018.85,153.89M,2.52%
16/05/13,6169.9,6128.25,6187.3,6128.25,158.64M,0.38%
17/05/13,6187.3,6172.95,6199.95,6146.15,147.28M,0.28%
20/05/13,6156.9,6198,6229.45,6146.05,122.25M,-0.49%
21/05/13,6114.1,6152.35,6180.25,6102.35,130.59M,-0.70%
22/05/13,6094.5,6127.05,6147.6,6074.45,133.76M,-0.32%
23/05/13,5967.05,6050.4,6081.45,5955.7,198.93M,-2.09%
24/05/13,5983.55,6010.7,6015.3,5936.8,161.62M,0.28%
27/05/13,6083.15,5989.4,6099.9,5975.55,115.12M,1.66%
28/05/13,6111.25,6086.35,6127.65,6055.4,139.67M,0.46%
29/05/13,6104.3,6120.45,6125.05,6069.8,120.21M,-0.11%
30/05/13,6124.05,6072.15,6133.75,6072.15,194.09M,0.32%
31/05/13,5985.95,6098.7,6106.25,5975.55,175.31M,-2.26%
03/06/13,5939.3,5997.35,6011,5916.35,112.12M,-0.78%
04/06/13,5919.45,5941.1,5981.6,5910.25,114.45M,-0.33%
05/06/13,5923.85,5908.3,5935.2,5883.7,110.22M,0.07%
06/06/13,5921.4,5895,5956.55,5869.5,114.18M,-0.04%
07/06/13,5881,5900.05,5972.7,5871.3,118.35M,-0.68%
10/06/13,5878,5907.9,5931.65,5857.4,100.13M,-0.05%
11/06/13,5788.8,5848.75,5868.05,5780.35,180.90M,-1.52%
12/06/13,5760.2,5771.75,5792.9,5738.6,140.39M,-0.49%
13/06/13,5699.1,5709.35,5729.85,5683.1,142.04M,-1.06%
14/06/13,5808.4,5748.95,5819.4,5739.4,124.41M,1.92%
17/06/13,5850.05,5820.4,5854.9,5770.25,107.16M,0.72%
18/06/13,5813.6,5841.9,5863.4,5804.3,117.54M,-0.62%
19/06/13,5822.25,5805.75,5828.4,5777.9,115.54M,0.15%
20/06/13,5655.9,5754.15,5755,5645.65,198.40M,-2.86%
21/06/13,5667.65,5639.9,5686.15,5616.85,182.41M,0.21%
24/06/13,5590.25,5638.05,5640,5566.25,193.49M,-1.37%
25/06/13,5609.1,5606.95,5666.25,5570.25,196.57M,0.34%
26/06/13,5588.7,5627.95,5635.25,5579.35,160.10M,-0.36%
27/06/13,5682.35,5647.95,5699.35,5630.95,239.03M,1.68%
28/06/13,5842.2,5749.5,5852.95,5749.5,214.40M,2.81%
01/07/13,5898.85,5834.1,5904.35,5822.2,144.79M,0.97%
02/07/13,5857.55,5885.5,5898.8,5852.3,145.72M,-0.70%
03/07/13,5770.9,5811.95,5815,5760.4,160.52M,-1.48%
04/07/13,5836.95,5794.75,5848.2,5786.05,151.93M,1.14%
05/07/13,5867.9,5889.95,5900.45,5858.45,123.59M,0.53%
08/07/13,5811.55,5833.15,5833.85,5775.55,127.63M,-0.96%
09/07/13,5859,5834.6,5864.95,5834.6,110.43M,0.82%
10/07/13,5816.7,5869.9,5879.35,5802.85,117.52M,-0.72%
11/07/13,5935.1,5894.5,5948.85,5887.95,120.20M,2.04%
12/07/13,6009,6000.5,6019,5951.15,127.71M,1.25%
15/07/13,6030.8,5991.2,6038.2,5980.95,116.28M,0.36%
16/07/13,5955.25,5930.8,5966.05,5910.95,151.16M,-1.25%
17/07/13,5973.3,5972.25,5989.8,5926.75,191.52M,0.30%
18/07/13,6038.05,5984.7,6051.1,5974.55,171.73M,1.08%
19/07/13,6029.2,6057.2,6066.85,6020.25,163.31M,-0.15%
22/07/13,6031.8,6009.75,6064.15,6004.25,115.17M,0.04%
23/07/13,6077.8,6064.3,6093.35,6061.3,126.47M,0.76%
24/07/13,5990.5,6032.2,6047.25,5962.6,151.93M,-1.44%
25/07/13,5907.5,5970.4,5990.65,5896.4,237.08M,-1.39%
26/07/13,5886.2,5937.95,5944.5,5869.5,174.54M,-0.36%
29/07/13,5831.65,5869.95,5886,5825.8,173.43M,-0.93%
30/07/13,5755.05,5836.05,5861.3,5747.6,181.49M,-1.31%
31/07/13,5742,5738.35,5752.1,5675.75,235.47M,-0.23%
01/08/13,5727.85,5776.9,5808.5,5676.85,216.76M,-0.25%
02/08/13,5677.9,5750.05,5761.85,5649,222.49M,-0.87%
05/08/13,5685.4,5682.4,5721,5661.5,197.17M,0.13%
06/08/13,5542.25,5664.9,5664.9,5521.8,216.23M,-2.52%
07/08/13,5519.1,5549.3,5561.45,5486.85,245.01M,-0.42%
08/08/13,5565.65,5510.05,5577.6,5510.05,204.92M,0.84%
12/08/13,5612.4,5606.7,5644.1,5557.1,195.71M,0.84%
13/08/13,5699.3,5600.25,5704.75,5578.9,223.00M,1.55%
14/08/13,5742.3,5715.4,5754.55,5690.2,223.66M,0.75%
16/08/13,5507.85,5705.45,5716.6,5496.05,248.09M,-4.08%
19/08/13,5414.75,5497.55,5499.65,5360.65,219.67M,-1.69%
20/08/13,5401.45,5353.45,5417.8,5306.35,261.05M,-0.25%
21/08/13,5302.55,5494.45,5504.1,5268.45,255.00M,-1.83%
22/08/13,5408.45,5282.8,5418.95,5254.05,284.47M,2.00%
23/08/13,5471.75,5428.75,5478.8,5377.8,251.51M,1.17%
26/08/13,5476.5,5499.4,5528.7,5454.45,242.00M,0.09%
27/08/13,5287.45,5426.5,5427.4,5274.25,306.04M,-3.45%
28/08/13,5285,5233.45,5317.7,5118.85,335.99M,-0.05%
29/08/13,5409.05,5316.5,5428.9,5303,326.50M,2.35%
30/08/13,5471.8,5407.45,5493.3,5360.2,336.40M,1.16%
02/09/13,5550.75,5480.25,5564.9,5478.85,214.23M,1.44%
03/09/13,5341.45,5574.7,5580.95,5323.75,250.30M,-3.77%
04/09/13,5448.1,5358.65,5460.25,5318.9,237.23M,2.00%
05/09/13,5592.95,5553.75,5625.75,5552.7,274.94M,2.66%
06/09/13,5680.4,5617.45,5688.6,5566.15,253.03M,1.56%
10/09/13,5896.75,5738.5,5904.85,5738.2,275.24M,3.81%
11/09/13,5913.15,5887.25,5924.35,5832.7,265.01M,0.28%
12/09/13,5850.7,5931.15,5932,5815.8,272.99M,-1.06%
13/09/13,5850.6,5828,5884.3,5822.9,190.77M,0.00%
16/09/13,5840.55,5930.3,5957.25,5798.15,219.46M,-0.17%
17/09/13,5850.2,5824.2,5857.8,5804.9,157.94M,0.17%
18/09/13,5899.45,5872.75,5916.9,5840.2,153.58M,0.84%
19/09/13,6115.55,6044.15,6142.5,6040.15,287.19M,3.66%
20/09/13,6012.1,6104.55,6130.95,5932.85,318.64M,-1.69%
23/09/13,5889.75,5945.8,5989.4,5871.4,188.32M,-2.04%
24/09/13,5892.45,5855,5938.4,5854.55,187.58M,0.05%
25/09/13,5873.85,5901.55,5910.55,5811.1,200.16M,-0.32%
26/09/13,5882.25,5872.8,5917.65,5864.1,220.59M,0.14%
27/09/13,5833.2,5905.55,5909.2,5819.3,163.07M,-0.83%
30/09/13,5735.3,5801.05,5810.2,5718.5,155.68M,-1.68%
01/10/13,5780.05,5756.1,5786.45,5700.95,159.25M,0.78%
03/10/13,5909.7,5819.1,5917.6,5802.7,199.79M,2.24%
04/10/13,5907.3,5891.3,5950.45,5885,191.47M,-0.04%
07/10/13,5906.15,5889.05,5912,5825.85,156.39M,-0.02%
08/10/13,5928.4,5975,5981.7,5913,158.53M,0.38%
09/10/13,6007.45,5893.25,6015.5,5877.1,192.04M,1.33%
10/10/13,6020.95,6001.05,6033.95,5979.8,159.61M,0.22%
11/10/13,6096.2,6104.85,6107.6,6046.4,180.83M,1.25%
14/10/13,6112.7,6093,6124.1,6082.9,142.17M,0.27%
15/10/13,6089.05,6147.55,6156.3,6056.55,218.30M,-0.39%
17/10/13,6045.85,6098.5,6110.75,6032.55,230.56M,-0.71%
18/10/13,6189.35,6070.9,6201.45,6070.9,250.34M,2.37%
21/10/13,6204.95,6202,6218.95,6163.3,196.99M,0.25%
22/10/13,6202.8,6192.3,6220.1,6181.8,161.94M,-0.03%
23/10/13,6178.35,6209.55,6217.95,6116.6,188.28M,-0.39%
24/10/13,6164.35,6162.8,6252.45,6142.95,148.91M,-0.23%
25/10/13,6144.9,6154,6174.75,6125.95,144.53M,-0.32%
28/10/13,6101.1,6155.1,6168.75,6094.1,146.34M,-0.71%
29/10/13,6220.9,6107.55,6228.05,6079.2,197.35M,1.96%
30/10/13,6251.7,6230.8,6269.2,6222.6,177.58M,0.50%
31/10/13,6299.15,6237.15,6309.05,6235.9,239.61M,0.76%
01/11/13,6307.2,6289.75,6332.6,6286.95,191.64M,0.13%
03/11/13,6324.95,6332.05,6342.95,6319.25,9.36M,0.28%
05/11/13,6253.15,6282.15,6304.75,6244.3,181.05M,-1.14%
06/11/13,6215.15,6260.55,6269.7,6208.7,157.08M,-0.61%
07/11/13,6187.25,6228.9,6288.95,6180.8,168.83M,-0.45%
08/11/13,6140.75,6170.15,6185.15,6120.95,150.05M,-0.75%
11/11/13,6078.8,6110.4,6141.65,6067.75,146.06M,-1.01%
12/11/13,6018.05,6087.25,6108.7,6011.75,153.81M,-1.00%
13/11/13,5989.6,5998.85,6042.25,5972.45,162.54M,-0.47%
14/11/13,6056.15,6037,6101.65,6036.65,154.91M,1.11%
18/11/13,6189,6111.05,6196.8,6110.4,163.99M,2.19%
19/11/13,6203.35,6197.25,6212.4,6180.2,161.51M,0.23%
20/11/13,6122.9,6186.85,6204.35,6106.95,155.80M,-1.30%
21/11/13,5999.05,6096.5,6097.35,5985.4,137.23M,-2.02%
22/11/13,5995.45,6027.35,6049.6,5972.8,134.76M,-0.06%
25/11/13,6115.35,6035.95,6123.5,6035.95,127.20M,2.00%
26/11/13,6059.1,6099.25,6112.7,6047.75,150.66M,-0.92%
27/11/13,6057.1,6062.7,6074,6030.3,124.88M,-0.03%
28/11/13,6091.85,6092,6112.95,6068.3,195.32M,0.57%
29/11/13,6176.1,6103.9,6182.5,6103.8,190.71M,1.38%
02/12/13,6217.85,6171.15,6228.7,6171.15,145.95M,0.68%
03/12/13,6201.85,6204.25,6225.4,6191.4,156.85M,-0.26%
04/12/13,6160.95,6187.95,6209.15,6149.9,186.17M,-0.66%
05/12/13,6241.1,6262.45,6300.55,6232,186.06M,1.30%
06/12/13,6259.9,6234.4,6275.35,6230.75,158.54M,0.30%
09/12/13,6363.9,6415,6415.25,6345,198.29M,1.66%
10/12/13,6332.85,6354.7,6362.25,6307.55,242.41M,-0.49%
11/12/13,6307.9,6307.2,6326.6,6280.25,148.20M,-0.39%
12/12/13,6237.05,6276.75,6286.85,6230.55,148.53M,-1.12%
13/12/13,6168.4,6201.3,6208.6,6161.4,169.65M,-1.10%
16/12/13,6154.7,6168.35,6183.25,6146.05,146.45M,-0.22%
17/12/13,6139.05,6178.2,6190.55,6133,154.18M,-0.25%
18/12/13,6217.15,6129.95,6236,6129.95,243.25M,1.27%
19/12/13,6166.65,6253.9,6263.75,6150.7,437.04M,-0.81%
20/12/13,6274.25,6179.95,6284.5,6170.35,171.97M,1.74%
23/12/13,6284.5,6267.2,6317.5,6266.95,131.19M,0.16%
24/12/13,6268.4,6296.45,6301.5,6262,107.64M,-0.26%
26/12/13,6278.9,6270.1,6302.75,6259.45,182.31M,0.17%
27/12/13,6313.8,6292.8,6324.9,6289.4,96.87M,0.56%
30/12/13,6291.1,6336.4,6344.05,6273.15,101.27M,-0.36%
31/12/13,6304,6307.35,6317.3,6287.3,103.44M,0.21%
01/01/14,6301.65,6323.8,6327.2,6298.25,69.57M,-0.04%
02/01/14,6221.15,6301.25,6358.3,6211.3,158.13M,-1.28%
03/01/14,6211.15,6194.55,6221.7,6171.25,139.04M,-0.16%
06/01/14,6191.45,6220.85,6224.7,6170.25,118.35M,-0.32%
07/01/14,6162.25,6203.9,6221.5,6144.75,138.56M,-0.47%
08/01/14,6174.6,6178.05,6192.1,6160.35,146.91M,0.20%
09/01/14,6168.35,6181.7,6188.05,6148.25,150.06M,-0.10%
10/01/14,6171.45,6178.85,6239.1,6139.6,159.92M,0.05%
13/01/14,6272.75,6189.55,6288.2,6189.55,135.01M,1.64%
14/01/14,6241.85,6260.25,6280.35,6234.15,110.23M,-0.49%
15/01/14,6320.9,6265.95,6325.2,6265.3,145.92M,1.27%
16/01/14,6318.9,6341.35,6346.5,6299.85,153.42M,-0.03%
17/01/14,6261.65,6306.25,6327.1,6246.35,167.72M,-0.91%
20/01/14,6303.95,6261.75,6307.45,6243.35,122.14M,0.68%
21/01/14,6313.8,6320.15,6330.3,6297.9,141.73M,0.16%
22/01/14,6338.95,6309.05,6349.95,6287.45,137.49M,0.40%
23/01/14,6345.65,6325.95,6355.6,6316.4,120.06M,0.11%
24/01/14,6266.75,6301.65,6331.45,6263.9,160.27M,-1.24%
27/01/14,6135.85,6186.3,6188.55,6130.25,190.44M,-2.09%
28/01/14,6126.25,6131.85,6163.6,6085.95,184.11M,-0.16%
29/01/14,6120.25,6161,6170.45,6109.8,146.73M,-0.10%
30/01/14,6073.7,6067,6082.85,6027.25,208.06M,-0.76%
31/01/14,6089.5,6082.75,6097.85,6067.35,146.71M,0.26%
03/02/14,6001.8,6058.8,6074.85,5994.45,134.89M,-1.44%
04/02/14,6000.9,5947.6,6017.8,5933.3,183.25M,-0.01%
05/02/14,6022.4,6004.25,6028.05,5962.05,166.63M,0.36%
06/02/14,6036.3,6028.35,6048.35,5965.4,185.50M,0.23%
07/02/14,6063.2,6077.65,6079.95,6030.9,181.93M,0.45%
10/02/14,6053.45,6072.8,6083.05,6046.4,133.07M,-0.16%
11/02/14,6062.7,6072.45,6081.85,6053.25,150.52M,0.15%
12/02/14,6084,6085.35,6106.6,6077.4,138.55M,0.35%
13/02/14,6001.1,6087.55,6094.4,5991.1,153.65M,-1.36%
14/02/14,6048.35,6023.75,6056.4,5984.6,140.20M,0.79%
17/02/14,6073.3,6057.1,6080.65,6038.3,108.49M,0.41%
18/02/14,6127.1,6071.3,6141.7,6066.8,126.64M,0.89%
19/02/14,6152.75,6132.05,6160.35,6125.75,95.25M,0.42%
20/02/14,6091.45,6127.15,6129.1,6086.45,132.11M,-1.00%
21/02/14,6155.45,6108.3,6159.65,6108,112.60M,1.05%
24/02/14,6186.1,6140.95,6191.85,6130.8,144.88M,0.50%
25/02/14,6200.05,6205.7,6216.85,6176.6,146.26M,0.23%
26/02/14,6238.8,6202.45,6245.95,6202.1,181.66M,0.62%
28/02/14,6276.95,6228.45,6282.7,6228.1,180.60M,0.61%
03/03/14,6221.45,6264.35,6277.75,6212.25,144.56M,-0.88%
04/03/14,6297.95,6216.75,6302.15,6215.7,166.82M,1.23%
05/03/14,6328.65,6328.45,6336.25,6287.8,160.30M,0.49%
06/03/14,6401.15,6344.75,6406.6,6339.7,180.73M,1.15%
07/03/14,6526.65,6413.95,6537.8,6413.55,284.92M,1.96%
